"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\config\db.js", "JavaScript", 0, 17, 0, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\authController.js", "JavaScript", 0, 43, 8, 10, 61
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\proyectoController.js", "JavaScript", 0, 67, 17, 25, 109
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\tareaController.js", "JavaScript", 0, 81, 22, 34, 137
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\controllers\usuarioController.js", "JavaScript", 0, 35, 9, 14, 58
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\index.js", "JavaScript", 0, 15, 7, 7, 29
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\middleware\auth.js", "JavaScript", 0, 14, 3, 4, 21
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Proyecto.js", "JavaScript", 0, 17, 0, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Tarea.js", "JavaScript", 0, 21, 0, 2, 23
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\models\Usuario.js", "JavaScript", 0, 24, 0, 2, 26
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\package.json", "JSON", 25, 0, 0, 1, 26
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\auth.js", "JavaScript", 0, 13, 4, 2, 19
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\proyectos.js", "JavaScript", 0, 28, 5, 6, 39
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\tareas.js", "JavaScript", 0, 26, 5, 5, 36
"c:\Users\ardil\Downloads\Proyecto-servidor(1)\Proyecto-servidor\routes\usuarios.js", "JavaScript", 0, 13, 3, 3, 19
"Total", "-", 25, 414, 83, 119, 641